City,Restaurant_Name,Votes
Bangalore,The Black Pearl,1070
Bangalore,Onesta,677
Bangalore,ECHOES Koramangala,621
Bangalore,The Fatty Bao - Asian Gastro Bar,591
Bangalore,Truffles,532
Bangalore,Onesta,520
Bangalore,Eat Street,488
Bangalore,AB's - Absolute Barbecues,458
Bangalore,Farzi Cafe,392
Bangalore,Three Dots & A Dash,365
Chandigarh,Brooklyn Central,618
Chandigarh,The Night Factory,535
Chandigarh,Karim's,29
Chandigarh,Virgin Courtyard,17
Chandigarh,OvenFresh,12
Chandigarh,Mocha Bar,11
Chandigarh,Pirates of Grill,11
Chandigarh,Barbeque Nation,11
Chandigarh,TGI Friday's,10
Chandigarh,Uncle Jack's,10
Chennai,L'amandier,49
Chennai,Maplai,40
Chennai,Haunted,30
Chennai,Writer's Cafe,29
Chennai,Ciclo Cafe,29
Chennai,Barbeque Nation,25
Chennai,Fusilli Reasons,24
Chennai,Paradise,21
Chennai,Palmshore,21
Chennai,Bombay Brasserie,19
Goa,Calamari,73
Goa,The Black Sheep Bistro,68
Goa,Martin's Corner,59
Goa,La Plage,49
Goa,Cafe Al Fresco by Cantina Bodega,46
Goa,Burger Factory,44
Goa,LPK Waterfront,39
Goa,The Fisherman's Wharf,37
Goa,Infantaria,30
Goa,Club Cubana,24
Guwahati,The Corner Cafe,160
Guwahati,Fat Belly,153
Guwahati,4 Seasons,147
Guwahati,Yo! China,141
Guwahati,Three Guys,115
Guwahati,Caf� Riverrun,88
Guwahati,Barbeque Nation,67
Guwahati,The Basement Caf�,58
Guwahati,Shanghai Salsa,58
Guwahati,Chung Fa,57
Hyderabad,Chili's,1821
Hyderabad,Jonathan's Kitchen - Holiday Inn Express & Suites,917
Hyderabad,Pine & Dine,849
Hyderabad,Heart Cup Coffee,800
Hyderabad,United Kitchens of India,755
Hyderabad,Mocha Bar Bar,613
Hyderabad,Dock Forty Five,558
Hyderabad,Sahibaos Barbeque by Ohriaos,550
Hyderabad,The Grand Trunk Road,464
Hyderabad,AB's - Absolute Barbecues,439
Jaipur,Nibs Cafe,1098
Jaipur,Chokhi Dhani,717
Jaipur,Decked Up By Garden Cafe,647
Jaipur,Taruveda Bistro,631
Jaipur,On The House,579
Jaipur,Meraaki Kitchen,548
Jaipur,Mamu's Infusion,546
Jaipur,Tapri Central,543
Jaipur,Blackout,465
Jaipur,Sky Beach,456
Kolkata,Santa's Fantasea,879
Kolkata,Flame & Grill,879
Kolkata,Barbeque Nation,823
Kolkata,Sigree Global Grill,650
Kolkata,India Restaurant,615
Kolkata,The Irish House,555
Kolkata,Ocean Grill,550
Kolkata,BarBQ,538
Kolkata,What's Up,410
Kolkata,Barbeque Nation,379
Lucknow,Barbeque Nation,820
Lucknow,Grandson of Tunday Kababi,660
Lucknow,Colours by Royal Cafe - Royal Inn,488
Lucknow,Free Spirit,487
Lucknow,Percussion,435
Lucknow,Vintage Machine,430
Lucknow,Underdoggs Sports Bar & Grill,429
Lucknow,Homeys Cafe,422
Lucknow,Chemistry Caf�,393
Lucknow,The Urban Terrace,369
Mumbai,Tea Villa Cafe,722
Mumbai,Tea Villa Cafe,489
Mumbai,Cafe Hydro,485
Mumbai,Grandmama's Cafe,433
Mumbai,The American Joint,428
Mumbai,145 Kala Ghoda,380
Mumbai,Joey's Pizza,345
Mumbai,The English Department Bar & Diner,330
Mumbai,The Fusion Kitchen,294
Mumbai,Tea Villa Cafe,259
Patna,KFC,355
Patna,Mainland China,353
Patna,Bansi Vihar,335
Patna,Indian Summer Cafe,302
Patna,McDonald's,287
Patna,Biryani Mahal,264
Patna,Sri Basant Vihar,249
Patna,Spice Court - Hotel Maurya,235
Patna,Genuine Broaster Chicken,213
Patna,Raj Rasoi,207
Pune,18 Degrees Resto Lounge,474
Pune,Kargo,244
Pune,Le Plaisir,214
Pune,Chili's,208
Pune,Barbeque Ville,201
Pune,German Bakery Wunderbar,166
Pune,The Sassy Spoon,144
Pune,Teddy Boy,142
Pune,Barbeque Nation,136
Pune,Effingut Brewerkz,128
Surat,The Creamery,1109
Surat,Kansar Gujarati Thali,1025
Surat,The Food Lab,728
Surat,Black Pepper,674
Surat,The Hog Spot,659
Surat,The Haus,570
Surat,Pizza Hut,496
Surat,The Sizzling Salsa,411
Surat,Golden Dragon,256
Surat,Coffee Culture - The Ristorante Lounge,199
